rid,method,seed_method,n,k,rng,budget,iters,time,aspl,gap,diameter,girth,deg_min,deg_max,connected
33,B_girthfirst,-,100,4,2004,,,1.90582310100001,3.4583838383838383,0.05672839506172832,6,5,4,4,1
34,C_greedy,-,100,4,-1,,,0.15836816800003817,3.356969696969697,0.025740740740740668,5,6,4,4,1
35,D_circulant,-,100,4,-1,,,0.11389257200005432,4.737373737373737,0.4475308641975307,7,4,4,4,1
36,E_polish,C,100,4,4000,quick,360,1.2580971800000498,3.356969696969697,0.025740740740740668,5,6,4,4,1
37,E_polish,C,100,4,4000,thorough,2841,8.26284836900004,3.3442424242424242,0.02185185185185179,5,5,4,4,1
38,E_polish,D,100,4,4100,quick,348,1.2435357599999861,3.4971717171717174,0.06858024691358024,6,3,4,4,1
39,E_polish,D,100,4,4100,thorough,2733,8.28255127500006,3.350909090909091,0.023888888888888873,5,5,4,4,1
40,E_polish,A,100,4,4200,quick,350,1.2696513119999508,3.425858585858586,0.04679012345679008,6,3,4,4,1
41,E_polish,A,100,4,4200,thorough,2885,8.265871273000016,3.349090909090909,0.02333333333333328,5,5,4,4,1
0,A_random,-,200,4,1000,,,0.002443526999968526,4.165427135678392,0.08639580602883368,7,3,4,4,1
1,A_random,-,200,4,1001,,,0.0021484839999175165,4.217889447236181,0.10007863695937097,7,3,4,4,1
2,A_random,-,200,4,1002,,,0.0005283670000153506,4.198241206030151,0.09495412844036698,7,3,4,4,1
3,A_random,-,200,4,1003,,,0.002696710999998686,4.212914572864322,0.09878112712975108,7,3,4,4,1
4,A_random,-,200,4,1004,,,0.0008361209999065977,4.194472361809045,0.0939711664482307,7,3,4,4,1
5,A_random,-,200,4,1005,,,0.015365233000011358,4.172412060301507,0.0882175622542595,7,3,4,4,1
6,A_random,-,200,4,1006,,,0.01458376200002931,4.182914572864322,0.09095674967234603,7,3,4,4,1
7,A_random,-,200,4,1007,,,0.0117724530000487,4.171457286432161,0.08796854521625169,7,3,4,4,1
8,B_girthfirst,-,200,4,2000,,,1.8625696670000025,4.096130653266331,0.06832241153342065,7,6,4,4,1
9,B_girthfirst,-,200,4,2001,,,1.8863402299999734,4.073718592964824,0.06247706422018358,6,6,4,4,1
10,B_girthfirst,-,200,4,2002,,,1.8516632099999697,4.080452261306533,0.06423328964613383,7,6,4,4,1
11,B_girthfirst,-,200,4,2003,,,1.8555313089999572,4.099346733668342,0.06916120576671042,7,6,4,4,1
12,B_girthfirst,-,200,4,2004,,,1.8458415589999504,4.076733668341708,0.06326343381389248,7,6,4,4,1
13,C_greedy,-,200,4,-1,,,1.194682227000044,3.991206030150754,0.04095674967234609,6,5,4,4,1
14,D_circulant,-,200,4,-1,,,0.8795699209999839,6.683417085427136,0.743119266055046,10,4,4,4,1
15,E_polish,C,200,4,4000,quick,90,2.1060552249999773,3.991206030150754,0.04095674967234609,6,5,4,4,1
16,E_polish,C,200,4,4000,thorough,652,9.184318129999951,3.991206030150754,0.04095674967234609,6,5,4,4,1
17,E_polish,D,200,4,4100,quick,86,1.9398889430000281,4.376532663316583,0.14145478374836182,8,3,4,4,1
18,E_polish,D,200,4,4100,thorough,627,8.974479686999985,4.119949748743719,0.07453473132372221,7,4,4,4,1
19,E_polish,A,200,4,4200,quick,85,2.181562993000057,4.132613065326633,0.07783748361730015,7,3,4,4,1
20,E_polish,A,200,4,4200,thorough,627,9.204137469999978,4.02321608040201,0.04930537352555706,6,5,4,4,1
